ID,Flow,PRD Reference,Arch Reference,PRD_found,Arch_found,Status,Note
UI-001,Ask Your CPO input → Enter submits to Advisor,PRD v4.0 §2 (Scope: Landing Page) + §5 (Accessibility: Enter=submit) (docs/PRD/PRD_v4.0.pdf),Arch v4.1 §1 (System Overview) + §3.1 (Accessibility Playbook) + §4.1 (Response Contract) (docs/Architecture/Architecture_v4.1.md),False,False,MISMATCH,PRD section §2 not found; Arch section §1 not found
UI-002,"Module buttons → navigate to dashboards (HR Analytics, Engagement, Performance)",PRD v4.0 §2 (Scope: Landing Page – Module Tiles) (docs/PRD/PRD_v4.0.pdf),Arch v4.1 §1.1 (Conceptual Diagram) (docs/Architecture/Architecture_v4.1.md),False,True,MISMATCH,PRD section §2 not found
UI-010,Typing indicator while model responds,PRD v4.0 §4 (Functional Requirements: Advisor – Typing indicators) (docs/PRD/PRD_v4.0.pdf),Arch v4.1 §4.2 (Streaming & UX Hooks: SSE typing indicator) (docs/Architecture/Architecture_v4.1.md),False,True,MISMATCH,PRD section §4 not found
UI-011,Responses include citations & 'Why this looks like this' tag,PRD v4.0 §4 (Advisor: Responses include sources + explainability tags) + §11 (Success Metrics ≥95% citations) (docs/PRD/PRD_v4.0.pdf),"Arch v4.1 §4.1 (Response Contract: citations[], explainability_tag) + §9 (Telemetry KPIs) (docs/Architecture/Architecture_v4.1.md)",False,True,MISMATCH,PRD section §4 not found
UI-012,Prompt Rail (always-visible suggested prompts),PRD v4.0 §2 (Scope: Advisor – Suggested prompts always visible) (docs/PRD/PRD_v4.0.pdf),Arch v4.1 §3.3 (App Shell & Patterns: Prompt Rail mandated) (docs/Architecture/Architecture_v4.1.md),False,True,MISMATCH,PRD section §2 not found
UI-020,"2x2 chart grid; each card has Title, Legend, Tooltip, AI Insights","PRD v4.0 §2 (Scope: Dashboards) + §4 (Functional: Charts with legends, AI Insights) (docs/PRD/PRD_v4.0.pdf)","Arch v4.1 §5.1 (Chart Models: eNPS, 9-box) + §5.2 (Endpoints) (docs/Architecture/Architecture_v4.1.md)",False,True,MISMATCH,PRD section §2 not found
UI-021,Upload Data + Export Data actions,PRD v4.0 §4 (Dashboards: Empty state 'Upload a CSV to see insights.') (docs/PRD/PRD_v4.0.pdf),Arch v4.1 §3.3 (App Shell: Empty State pattern) + §5 (Dashboards Service) (docs/Architecture/Architecture_v4.1.md),False,True,MISMATCH,PRD section §4 not found
UI-030,"Demographic breakdown (gender/race), attrition","PRD v4.0 §2 (Engagement Module: survey summaries, eNPS) (docs/PRD/PRD_v4.0.pdf)",Arch v4.1 §5.1 (eNPS Chart Contract) (docs/Architecture/Architecture_v4.1.md),False,True,MISMATCH,PRD section §2 not found
UI-040,eNPS visualization,"PRD v4.0 §2 (Performance Module: review cycle, 9-box) (docs/PRD/PRD_v4.0.pdf)",Arch v4.1 §5.1 (9-box Chart Contract) (docs/Architecture/Architecture_v4.1.md),False,True,MISMATCH,PRD section §2 not found
UI-050,9-box performance distribution,"PRD v4.0 §2 (PIP Builder: Stepper flow, AI suggestions, quick actions) (docs/PRD/PRD_v4.0.pdf)",Arch v4.1 §6 (Builders State Machines) (docs/Architecture/Architecture_v4.1.md),False,False,MISMATCH,PRD section §2 not found; Arch section §6 not found
UI-060,Form + Advisor aligned; stepper removed; export branded PIP,"PRD v4.0 §2 (JD Builder: Stepper flow, structured sections, Advisor quick actions) (docs/PRD/PRD_v4.0.pdf)",Arch v4.1 §6 (Builders State Machines) (docs/Architecture/Architecture_v4.1.md),False,False,MISMATCH,PRD section §2 not found; Arch section §6 not found
UI-061,Form + Advisor aligned; export branded JD,"State machine; structured sections (Overview, Responsibilities…)",Builders service; Export Engine,True,True,OK,
UI-070,"Branded layouts: header logo left, client name right; footer text; watermark",PRD v4.0 §4 (Dashboards + Builders: Exports PDF/CSV/XLSX branded) + §11 (Success Metrics: branding rules) (docs/PRD/PRD_v4.0.pdf),"Arch v4.1 §7 (Export Engine: Branding rules, APIs) (docs/Architecture/Architecture_v4.1.md)",False,False,MISMATCH,PRD section §4 not found; Arch section §7 not found
UI-080,"Keyboard: Enter=submit, Esc=close; predictable tab order","PRD v4.0 §5 (Non-Functional: Accessibility enforceable, contrast, ARIA, focus ring) (docs/PRD/PRD_v4.0.pdf)",Arch v4.1 §3.1 (Accessibility Playbook) (docs/Architecture/Architecture_v4.1.md),False,True,MISMATCH,PRD section §5 not found
UI-081,"Contrast ratio ≥4.5:1; ARIA roles (nav, main, form, button, alert)",Accessibility is enforceable; acceptance criteria in PRD,Linting and visual tests; roles in components,True,True,OK,
UI-090,Dashboards: “Upload a CSV to see insights”,"PRD v4.0 §11 (Success Metrics: TTFA <10s, ≥95% citation rate, dashboard render <10s) (docs/PRD/PRD_v4.0.pdf)",Arch v4.1 §9 (Telemetry & KPIs) (docs/Architecture/Architecture_v4.1.md),False,False,MISMATCH,PRD section §11 not found; Arch section §9 not found
